"player1","player2","win1","win2"
"Aryna Sabalenka","Kateryna Baindl",1,0
"Aryna Sabalenka","Katie Boulter",1,0
"Aryna Sabalenka","Madison Keys",0,1
"Aryna Sabalenka","Ons Jabeur",1,0
"Aryna Sabalenka","Shelby Rogers",1,0
"Aryna Sabalenka","Veronika Kudermetova",0,1
"Ashleigh Barty","Barbora Krejcikova",1,0
"Ashleigh Barty","Karolina Pliskova",1,0
"Ashleigh Barty","Katerina Siniakova",1,0
"Barbora Krejcikova","Marta Kostyuk",0,1
"Barbora Krejcikova","Viktorija Golubic",1,0
"Beatriz Haddad Maia","Camila Giorgi",1,0
"Beatriz Haddad Maia","Jodie Burrage",1,0
"Beatriz Haddad Maia","Kaia Kanepi",1,0
"Beatriz Haddad Maia","Kaja Juvan",0,1
"Beatriz Haddad Maia","Lesia Tsurenko",1,0
"Beatriz Haddad Maia","Magdalena Frech",1,0
"Beatriz Haddad Maia","Maria Sakkari",1,0
"Beatriz Haddad Maia","Petra Kvitova",1,1
"Beatriz Haddad Maia","Shuai Zhang",1,0
"Beatriz Haddad Maia","Simona Halep",1,0
"Beatriz Haddad Maia","Tereza Martincova",1,0
"Belinda Bencic","Ekaterina Alexandrova",1,0
"Belinda Bencic","Jule Niemeier",2,0
"Belinda Bencic","Kaja Juvan",0,1
"Belinda Bencic","Liudmila Samsonova",0,1
"Belinda Bencic","Madison Brengle",1,0
"Belinda Bencic","Maria Sakkari",1,0
"Belinda Bencic","Ons Jabeur",0,1
"Belinda Bencic","Petra Martic",2,0
"Belinda Bencic","Veronika Kudermetova",1,1
"Belinda Bencic","Viktorija Golubic",0,1
"Bianca Andreescu","Caroline Garcia",0,1
"Bianca Andreescu","Daria Kasatkina",1,0
"Bianca Andreescu","Elena Rybakina",0,1
"Bianca Andreescu","Karolina Pliskova",0,1
"Bianca Andreescu","Katerina Siniakova",1,0
"Bianca Andreescu","Simona Halep",1,0
"Camila Giorgi","Donna Vekic",0,1
"Camila Giorgi","Garbine Muguruza",1,0
"Camila Giorgi","Harriet Dart",0,1
"Camila Giorgi","Jelena Ostapenko",0,1
"Camila Giorgi","Karolina Muchova",0,1
"Camila Giorgi","Karolina Pliskova",1,0
"Camila Giorgi","Lauren Davis",1,0
"Camila Giorgi","Magdalena Frech",0,1
"Camila Giorgi","Rebecca Marino",1,0
"Camila Giorgi","Shelby Rogers",1,0
"Tereza Martincova","Camila Giorgi",0,1
"Camila Giorgi","Viktoriya Tomova",1,0
"Camila Osorio","Ekaterina Alexandrova",1,0
"Camila Osorio","Elise Mertens",0,1
"Camila Osorio","Harriet Dart",0,1
"Camila Osorio","Katie Boulter",0,1
"Camila Osorio","Lesia Tsurenko",0,1
"Camila Osorio","Maria Sakkari",0,1
"Caroline Garcia","Emma Raducanu",1,0
"Caroline Garcia","Harriet Dart",1,0
"Caroline Garcia","Jessica Pegula",0,1
"Caroline Garcia","Katie Boulter",0,1
"Caroline Garcia","Lauren Davis",1,0
"Caroline Garcia","Marie Bouzkova",0,2
"Caroline Garcia","Shuai Zhang",1,0
"Caroline Garcia","Viktorija Golubic",1,0
"Caty Mcnally","Donna Vekic",0,1
"Caty Mcnally","Ekaterina Alexandrova",0,1
"Caty Mcnally","Elise Mertens",1,0
"Caty Mcnally","Kristina Mladenovic",0,1
"Ons Jabeur","Caty Mcnally",1,0
"Caty Mcnally","Tamara Zidansek",1,0
"Claire Liu","Elena Rybakina",0,1
"Claire Liu","Jule Niemeier",0,1
"Claire Liu","Misaki Doi",1,0
"Coco Vandeweghe","Daria Kasatkina",0,1
"Coco Vandeweghe","Donna Vekic",0,1
"Coco Vandeweghe","Elena Rybakina",0,1
"Coco Vandeweghe","Katerina Siniakova",0,1
"Coco Vandeweghe","Marie Bouzkova",1,0
"Cori Gauff","Elise Mertens",1,0
"Cori Gauff","Kaja Juvan",1,0
"Cori Gauff","Karolina Pliskova",1,0
"Cori Gauff","Ons Jabeur",0,1
"Cori Gauff","Xin Yu Wang",1,0
"Daria Kasatkina","Ekaterina Alexandrova",1,0
"Daria Kasatkina","Iga Swiatek",1,0
"Daria Kasatkina","Jelena Ostapenko",0,2
"Daria Kasatkina","Jule Niemeier",1,0
"Daria Kasatkina","Maria Sakkari",0,1
"Daria Kasatkina","Marta Kostyuk",1,0
"Daria Kasatkina","Ons Jabeur",0,1
"Daria Kasatkina","Tereza Martincova",1,0
"Donna Vekic","Dayana Yastremska",1,0
"Dayana Yastremska","Ekaterina Alexandrova",0,1
"Dayana Yastremska","Jelena Ostapenko",1,0
"Dayana Yastremska","Magda Linette",1,0
"Dayana Yastremska","Shuai Zhang",0,1
"Donna Vekic","Harriet Dart",0,1
"Donna Vekic","Heather Watson",0,1
"Donna Vekic","Jessica Pegula",0,1
"Donna Vekic","Karolina Pliskova",0,1
"Donna Vekic","Nina Stojanovic",0,1
"Donna Vekic","Petra Kvitova",0,1
"Donna Vekic","Sorana Cirstea",0,1
"Ekaterina Alexandrova","Elina Svitolina",1,0
"Ekaterina Alexandrova","Veronika Kudermetova",1,0
"Elena Rybakina","Elina Svitolina",1,0
"Elena Rybakina","Garbine Muguruza",0,1
"Elena Rybakina","Harriet Dart",1,0
"Elena Rybakina","Jelena Ostapenko",0,1
"Elena Rybakina","Kristina Mladenovic",1,0
"Elena Rybakina","Lesia Tsurenko",0,1
"Elena Rybakina","Ons Jabeur",1,0
"Elena Rybakina","Petra Martic",1,0
"Elena Rybakina","Qinwen Zheng",1,0
"Elena Rybakina","Shelby Rogers",2,1
"Elena Rybakina","Simona Halep",1,0
"Elina Svitolina","Magda Linette",0,1
"Elina Svitolina","Paula Badosa",1,0
"Elise Mertens","Harriet Dart",1,0
"Elise Mertens","Kirsten Flipkens",0,1
"Elise Mertens","Madison Keys",0,1
"Elise Mertens","Ons Jabeur",0,1
"Emma Raducanu","Harriet Dart",0,1
"Emma Raducanu","Sorana Cirstea",1,0
"Emma Raducanu","Viktorija Golubic",0,1
"Garbine Muguruza","Greet Minnen",0,1
"Garbine Muguruza","Lesley Pattinama Kerkhove",1,0
"Garbine Muguruza","Magdalena Frech",1,0
"Garbine Muguruza","Ons Jabeur",0,1
"Garbine Muguruza","Sorana Cirstea",1,0
"Greet Minnen","Misaki Doi",1,0
"Greet Minnen","Qinwen Zheng",0,1
"Harmony Tan","Katie Boulter",1,0
"Harmony Tan","Sara Sorribes Tormo",1,0
"Harmony Tan","Tamara Zidansek",0,1
"Harriet Dart","Jessica Pegula",0,1
"Harriet Dart","Lauren Davis",0,1
"Harriet Dart","Madison Brengle",1,0
"Harriet Dart","Marta Kostyuk",1,0
"Harriet Dart","Petra Kvitova",0,1
"Harriet Dart","Simona Halep",0,1
"Heather Watson","Iga Swiatek",0,1
"Heather Watson","Jule Niemeier",0,1
"Heather Watson","Kaja Juvan",1,0
"Heather Watson","Katie Boulter",0,1
"Heather Watson","Ons Jabeur",0,1
"Rebecca Marino","Heather Watson",0,1
"Heather Watson","Shuai Zhang",1,0
"Heather Watson","Tamara Korpatsch",1,0
"Heather Watson","Viktorija Golubic",1,1
"Iga Swiatek","Irina Camelia Begu",1,0
"Iga Swiatek","Lesley Pattinama Kerkhove",1,0
"Iga Swiatek","Ons Jabeur",0,1
"Irina Camelia Begu","Jelena Ostapenko",0,1
"Irina Camelia Begu","Petra Martic",1,0
"Jelena Ostapenko","Lauren Davis",1,0
"Jelena Ostapenko","Madison Keys",1,0
"Jelena Ostapenko","Ons Jabeur",1,0
"Jelena Ostapenko","Petra Kvitova",0,1
"Jelena Ostapenko","Rebecca Marino",1,0
"Jelena Ostapenko","Tatjana Maria",0,1
"Jelena Ostapenko","Tereza Martincova",0,1
"Jessica Pegula","Karolina Pliskova",1,0
"Jessica Pegula","Katerina Siniakova",0,1
"Jessica Pegula","Liudmila Samsonova",0,1
"Jessica Pegula","Petra Martic",0,1
"Jessica Pegula","Victoria Azarenka",0,1
"Jodie Burrage","Lauren Davis",0,1
"Jodie Burrage","Lesia Tsurenko",0,1
"Jodie Burrage","Paula Badosa",1,0
"Jodie Burrage","Petra Martic",1,0
"Jodie Burrage","Shuai Zhang",0,1
"Johanna Konta","Kateryna Baindl",1,0
"Lesley Pattinama Kerkhove","Johanna Konta",0,1
"Johanna Konta","Nina Stojanovic",1,0
"Johanna Konta","Shuai Zhang",1,0
"Jule Niemeier","Lesia Tsurenko",1,0
"Jule Niemeier","Tatjana Maria",0,1
"Kaia Kanepi","Karolina Pliskova",0,1
"Kaia Kanepi","Liudmila Samsonova",0,1
"Kaja Juvan","Lauren Davis",0,1
"Karolina Muchova","Ons Jabeur",0,1
"Karolina Muchova","Paula Badosa",1,0
"Karolina Muchova","Shuai Zhang",1,0
"Karolina Muchova","Simona Halep",0,1
"Karolina Muchova","Veronika Kudermetova",0,1
"Karolina Pliskova","Katie Boulter",0,2
"Karolina Pliskova","Liudmila Samsonova",1,0
"Karolina Pliskova","Tamara Zidansek",1,0
"Karolina Pliskova","Tereza Martincova",2,0
"Karolina Pliskova","Viktorija Golubic",1,0
"Katerina Siniakova","Sara Sorribes Tormo",1,0
"Katerina Siniakova","Simona Halep",0,1
"Kateryna Baindl","Madison Brengle",1,0
"Kateryna Baindl","Victoria Azarenka",0,1
"Katie Boulter","Lauren Davis",0,1
"Katie Boulter","Marie Bouzkova",1,0
"Katie Boulter","Petra Kvitova",0,1
"Katie Boulter","Simona Halep",0,1
"Katie Boulter","Tatjana Maria",1,0
"Katie Boulter","Tereza Martincova",1,0
"Kirsten Flipkens","Shelby Rogers",0,1
"Kirsten Flipkens","Simona Halep",0,1
"Viktoriya Tomova","Kirsten Flipkens",1,0
"Kristina Mladenovic","Shuai Zhang",0,1
"Lauren Davis","Madison Brengle",1,0
"Lauren Davis","Madison Keys",0,2
"Lauren Davis","Shuai Zhang",0,1
"Lesia Tsurenko","Magda Linette",1,0
"Lesia Tsurenko","Simona Halep",0,1
"Liudmila Samsonova","Madison Keys",1,0
"Sloane Stephens","Liudmila Samsonova",0,1
"Tamara Zidansek","Liudmila Samsonova",0,1
"Liudmila Samsonova","Veronika Kudermetova",1,1
"Liudmila Samsonova","Victoria Azarenka",1,0
"Madison Brengle","Marta Kostyuk",0,1
"Madison Brengle","Viktorija Golubic",0,1
"Madison Keys","Magdalena Frech",1,0
"Madison Keys","Viktorija Golubic",0,1
"Magda Linette","Paula Badosa",0,1
"Magda Linette","Tereza Martincova",0,1
"Magdalena Frech","Qinwen Zheng",1,0
"Magdalena Frech","Simona Halep",0,1
"Maria Sakkari","Rebecca Marino",1,0
"Maria Sakkari","Shelby Rogers",0,1
"Tatjana Maria","Maria Sakkari",1,0
"Maria Sakkari","Viktoriya Tomova",1,0
"Marie Bouzkova","Ons Jabeur",0,1
"Marie Bouzkova","Shelby Rogers",0,1
"Marta Kostyuk","Shuai Zhang",0,1
"Marta Kostyuk","Viktorija Golubic",1,0
"Misaki Doi","Sara Sorribes Tormo",0,1
"Misaki Doi","Shuai Zhang",0,1
"Nadia Podoroska","Petra Kvitova",0,1
"Nadia Podoroska","Tereza Martincova",0,1
"Nina Stojanovic","Tereza Martincova",1,0
"Ons Jabeur","Tatjana Maria",1,0
"Paula Badosa","Petra Kvitova",1,0
"Paula Badosa","Simona Halep",0,1
"Yulia Putintseva","Paula Badosa",0,1
"Petra Kvitova","Sloane Stephens",0,1
"Petra Martic","Shelby Rogers",1,0
"Qinwen Zheng","Sloane Stephens",1,0
"Victoria Azarenka","Sara Sorribes Tormo",0,1
"Sara Sorribes Tormo","Yulia Putintseva",0,1
"Shelby Rogers","Sorana Cirstea",0,1
"Shelby Rogers","Viktoriya Tomova",0,1
"Shuai Zhang","Sorana Cirstea",1,0
"Shuai Zhang","Tereza Martincova",0,1
"Simona Halep","Tamara Zidansek",1,0
"Sorana Cirstea","Tatjana Maria",0,1
"Sorana Cirstea","Victoria Azarenka",1,0
"Tamara Korpatsch","Xin Yu Wang",0,1
"Veronika Kudermetova","Viktorija Golubic",0,1
